LotArea,OverallQual,Age,CentralAir,GrLivArea,FullBath,KitchenQual,YrSold,SalePrice
9967,7,22,Y,1430,2,TA,2007,170000
10500,5,51,Y,1109,1,TA,2007,139000
8480,5,75,Y,1216,1,TA,2008,118500
6292,7,94,Y,1477,2,TA,2009,145000
11777,5,56,Y,1320,1,TA,2006,164500
3604,7,15,Y,1392,2,Gd,2008,146000
12150,5,68,N,1795,2,TA,2008,131500
14585,6,62,Y,1429,1,Gd,2007,181900
12704,8,14,Y,2042,2,Ex,2009,253293
11841,6,32,Y,816,1,TA,2007,118500
13500,10,129,Y,2775,3,Gd,2008,325000
6120,4,87,Y,1573,1,Gd,2009,133000
11443,8,17,Y,2028,2,Gd,2006,369900
10267,6,104,Y,838,1,Fa,2008,130000
8740,5,40,Y,860,1,TA,2009,137000
25095,5,54,Y,1473,1,Ex,2009,143000
9100,5,92,Y,935,1,TA,2008,79500
8320,7,18,Y,1582,2,Gd,2008,185900
13478,10,14,Y,2296,2,Ex,2009,451950
6600,5,40,Y,816,1,TA,2008,138000
4435,6,19,Y,848,1,Gd,2009,140000
7990,5,47,Y,924,1,TA,2008,110000
11302,8,17,Y,1826,2,Gd,2006,319000
3600,6,112,N,1368,1,TA,2006,114504
3922,7,16,Y,1402,0,Gd,2007,194201
12984,5,45,Y,1647,2,Gd,2006,217500
1950,6,42,Y,1556,2,TA,2008,151000
10927,8,17,Y,1904,2,Ex,2006,275000
9000,6,85,Y,1375,1,Gd,2007,141000
10041,8,30,Y,1915,2,Gd,2006,220000
3182,7,18,Y,1200,2,Gd,2010,151000
12803,7,20,Y,1494,2,Gd,2008,221000
13600,7,57,Y,1986,2,TA,2009,205000
12464,5,26,Y,1040,1,Gd,2009,152000
7800,5,74,Y,2008,3,Ex,2006,225000
12168,8,88,Y,3194,2,TA,2007,359100
7943,4,61,Y,1029,1,TA,2007,118500
11050,9,22,Y,2153,2,Ex,2009,313000
10395,6,44,Y,1032,2,TA,2007,148000
11885,8,21,Y,1872,2,Ex,2009,261500
8402,5,15,Y,1120,1,TA,2007,147000
1491,4,50,Y,630,1,TA,2010,75500
8800,6,59,Y,1054,1,Gd,2010,137500
7861,6,20,Y,1509,2,Gd,2006,183200
7227,6,68,Y,832,1,Gd,2008,105500
11694,9,15,Y,1828,2,Gd,2007,314813
12244,8,19,Y,2262,2,Gd,2008,305000
8248,3,108,N,864,1,TA,2008,67000
10800,6,48,Y,2614,2,TA,2008,240000
7064,5,45,Y,980,1,TA,2009,135000
2117,6,22,Y,1512,2,Gd,2007,168500
10400,6,50,Y,1790,1,TA,2006,165150
10000,6,60,Y,1116,1,TA,2010,160000
12342,5,62,Y,1422,1,TA,2007,139900
9600,6,67,Y,1520,1,TA,2010,153000
11606,5,53,Y,2080,1,Fa,2007,135000
9020,6,58,Y,1350,1,TA,2008,168500
9000,5,142,Y,1750,1,Ex,2006,124000
4590,8,16,Y,1554,2,Gd,2007,209500
11900,7,45,Y,1411,2,TA,2009,82500
9250,5,68,Y,1056,1,TA,2007,139400
6979,6,42,Y,1056,0,TA,2010,144000
10896,6,108,Y,3395,2,Fa,2007,200000
6120,2,86,N,800,1,Fa,2009,60000
6000,5,68,Y,1387,2,Gd,2009,93000
8777,5,112,Y,796,1,TA,2008,85000
3982,8,16,Y,1567,2,Ex,2006,264561
12677,8,19,Y,1518,1,Ex,2008,274000
7050,7,21,Y,1929,2,Gd,2007,226000
13860,8,50,Y,2704,2,Ex,2009,345000
10793,5,53,Y,1620,2,TA,2007,152000
9187,9,13,Y,1766,2,Ex,2009,370878
10530,6,51,Y,981,1,TA,2007,143250
7200,5,72,Y,1048,1,TA,2008,98300
10452,6,69,Y,1094,1,TA,2008,155000
7700,6,56,Y,1839,1,TA,2010,155000
1936,4,52,Y,630,1,TA,2007,84500
8125,7,15,Y,1665,2,Gd,2008,205950
9084,4,82,Y,1510,1,TA,2009,108000
8750,7,26,Y,1716,2,Gd,2009,191000
10320,6,116,Y,1469,1,TA,2008,135000
10437,8,27,Y,2113,2,Gd,2008,350000
1680,6,51,Y,1092,1,TA,2010,88000
10007,5,63,Y,1053,1,Gd,2008,145500
7200,7,91,Y,1502,1,TA,2008,149000
17503,6,74,Y,1458,1,TA,2010,97500
9937,5,58,Y,1486,1,TA,2009,167000
12384,7,46,Y,1935,2,TA,2007,197900
46589,8,28,Y,2448,2,Gd,2009,402000
13560,6,54,Y,1392,1,TA,2009,110000
10012,4,50,Y,1181,2,TA,2008,137500
20896,8,17,Y,2097,1,Ex,2006,423000
11194,8,22,Y,1936,2,Gd,2006,230500
18450,6,57,Y,2380,2,TA,2007,129000
8125,6,28,Y,1679,2,Gd,2008,193500
14175,5,66,Y,1437,1,TA,2006,168000
11600,4,100,Y,1180,1,Fa,2006,137500
8633,6,17,Y,1476,2,Gd,2009,173500
6629,6,97,N,1369,2,TA,2009,103600
11250,6,45,Y,1208,1,TA,2006,165000
14442,6,65,Y,1839,2,Gd,2007,257500
9200,6,57,Y,1136,1,TA,2008,140000
2289,6,44,Y,1441,2,TA,2009,148500
9600,4,122,N,1774,2,TA,2006,87000
9022,5,98,Y,792,1,Gd,2009,109500
11844,8,14,Y,2046,2,Gd,2009,372500
9945,5,61,Y,988,1,TA,2007,128500
8012,6,42,Y,923,2,TA,2010,143000
4500,5,90,Y,1520,1,TA,2009,159434
2887,6,26,Y,1291,1,Gd,2008,173000
11248,9,20,Y,1668,2,Gd,2007,285000
16770,7,24,Y,1839,2,TA,2010,221000
5062,7,38,Y,2090,2,Gd,2007,207500
10207,7,15,Y,1761,3,Gd,2007,227875
5105,7,18,Y,1102,2,Gd,2007,148800
8089,8,15,Y,1419,2,Gd,2007,392000
7577,6,17,Y,1362,2,Gd,2007,194700
4426,6,18,Y,848,1,Gd,2008,141000
21535,10,28,Y,4316,3,Ex,2007,755000
26178,7,33,Y,2519,2,Gd,2006,335000
5400,5,101,Y,1073,1,TA,2006,108480
6120,5,86,Y,1539,1,TA,2009,141500
13811,6,35,Y,1137,2,Gd,2006,176000
6000,5,101,Y,616,1,TA,2006,89000
6420,5,70,Y,1148,1,TA,2006,123500
8450,5,57,Y,894,1,TA,2010,138500
4282,7,18,Y,1391,2,Gd,2008,196000
14331,8,20,Y,1800,2,Gd,2006,312500
9600,7,53,Y,1164,1,TA,2006,140000
12438,8,16,Y,2576,2,Ex,2006,361919
7630,5,122,Y,1812,2,Gd,2010,140000
8400,7,18,Y,1484,2,Gd,2010,213000
5600,4,92,N,1092,2,Fa,2010,55000
115149,7,51,Y,1824,2,Gd,2007,302000
6240,8,16,Y,1324,2,Gd,2009,254000
9018,7,15,Y,1456,2,Gd,2007,179540
7162,5,56,Y,904,1,TA,2008,109900
4130,3,87,Y,729,1,TA,2008,52000
8712,4,122,Y,1178,1,TA,2010,102776
4671,8,34,Y,1228,2,Gd,2008,189000
9873,4,52,N,960,1,TA,2006,129000
13517,6,46,Y,1479,2,Gd,2010,130500
10140,6,48,Y,1350,2,TA,2009,165000
10800,7,132,Y,2554,1,TA,2007,159500
10000,5,49,Y,1178,1,Gd,2008,157000
10542,7,29,Y,2418,2,Gd,2008,341000
9920,5,53,Y,971,1,TA,2006,128500
6563,8,37,Y,1742,2,Gd,2006,275000
4426,6,18,Y,848,1,Gd,2010,143000
8120,4,52,Y,864,1,TA,2009,124500
8172,4,68,Y,1470,2,TA,2008,135000
13286,9,15,Y,1698,2,Ex,2009,320000
6960,4,52,Y,864,1,Gd,2009,120500
21695,6,34,Y,1680,2,Gd,2009,222000
7314,7,15,Y,1232,2,Gd,2009,194500
11475,5,64,Y,1776,2,TA,2009,110000
6240,4,97,Y,1208,1,TA,2009,103000
5389,8,27,Y,1616,2,Gd,2010,236500
9590,7,19,Y,1146,2,Gd,2007,187500
11404,7,24,Y,2031,2,Gd,2008,222500
10000,5,61,Y,1144,1,TA,2009,131400
8978,5,54,Y,948,1,TA,2007,108000
10800,7,108,N,1768,1,TA,2006,163000
8544,3,72,N,1040,2,TA,2006,93500
10463,8,17,Y,1801,2,Gd,2006,239900
10800,5,35,Y,1200,3,TA,2009,179000
9313,7,18,Y,1728,2,Gd,2009,190000
9600,5,112,Y,1432,2,TA,2007,132000
6768,6,61,Y,912,1,Gd,2008,142000
8450,7,22,Y,1349,2,TA,2007,179000
12886,5,59,Y,1464,2,TA,2009,175000
5395,8,29,Y,1337,2,Gd,2008,180000
8963,8,46,Y,2715,3,Gd,2008,299800
8795,7,22,Y,2256,2,Gd,2009,236000
11700,7,142,N,2640,1,Gd,2009,265979
10593,7,26,Y,1720,2,Gd,2010,260400
8405,4,77,N,1529,2,TA,2009,98000
8800,4,112,Y,1140,1,TA,2010,96500
7750,7,19,Y,1320,2,Gd,2007,162000
9236,6,25,Y,1494,2,Gd,2006,217000
10240,8,17,Y,2098,2,Ex,2006,275500
7930,6,53,Y,1026,1,Gd,2009,156000
3230,6,23,Y,1471,2,TA,2009,172500
10769,8,15,Y,1768,2,Gd,2009,212000
11616,6,44,Y,1386,2,TA,2010,158900
2280,7,23,Y,1501,2,TA,2008,179400
12257,8,27,Y,2531,2,Gd,2007,290000
9100,6,63,Y,864,1,TA,2009,127500
6911,5,98,Y,1301,1,Fa,2009,100000
8640,7,13,Y,1547,2,Gd,2010,215200
9430,8,23,Y,2365,2,Gd,2009,337000
9549,8,27,Y,1494,1,Ex,2006,270000
14587,9,14,Y,1506,2,Ex,2008,264132
10421,7,34,Y,1714,2,TA,2010,196500
12508,6,82,Y,1750,2,TA,2008,160000
9100,7,18,Y,1836,2,Gd,2006,216837
53504,8,19,Y,3279,3,Ex,2010,538000
7252,5,40,Y,858,1,TA,2009,134900
8877,4,71,Y,1220,1,TA,2006,102000
7819,6,46,Y,1117,1,TA,2010,107000
10150,5,64,Y,912,1,TA,2007,114500
14226,8,16,Y,1973,2,Gd,2007,395000
4500,6,24,Y,1204,2,TA,2009,162000
11210,7,17,Y,1614,2,Gd,2006,221500
13350,5,48,Y,894,1,TA,2006,142500
8400,5,45,Y,2020,2,TA,2007,144000
10530,6,45,Y,1004,1,TA,2006,135000
7875,7,27,Y,1253,2,TA,2007,176000
7153,6,30,Y,1603,2,Gd,2006,175900
16285,7,21,Y,1430,2,Gd,2009,187100
9101,5,44,Y,1110,1,Gd,2009,165500
6300,6,108,Y,1484,2,TA,2008,128000
9790,6,55,Y,1342,2,TA,2009,161500
10800,5,107,Y,1652,2,TA,2010,139000
10142,7,18,Y,2084,2,Gd,2010,233000
6000,4,68,Y,901,1,TA,2008,107900
12205,6,56,Y,2087,2,Gd,2007,187500
3182,7,17,Y,1145,2,Gd,2009,160200
11333,6,46,Y,1062,1,TA,2007,146800
9920,7,26,Y,2013,2,TA,2007,269790
9158,8,15,Y,1496,2,Gd,2007,225000
10832,7,28,Y,1895,2,Gd,2008,194500
8400,6,42,Y,1564,2,TA,2010,171000
8197,6,45,Y,1285,1,TA,2007,143500
7677,5,69,Y,773,1,TA,2008,110000
13518,9,14,Y,3140,3,Ex,2009,485000
7200,5,85,Y,1768,1,Gd,2007,175000
12798,6,25,Y,1688,2,Gd,2008,200000
4800,4,106,Y,1196,1,TA,2007,109900
8199,7,17,Y,1456,2,Gd,2008,189000
13891,9,14,Y,2822,3,Ex,2009,582933
9000,5,68,Y,1128,1,TA,2006,118000
12274,7,14,Y,1428,2,Ex,2008,227680
9750,5,55,Y,980,2,TA,2006,135500
21384,5,99,Y,1576,1,Gd,2009,223500
13400,5,56,Y,1086,1,TA,2006,159950
8100,5,124,N,2138,2,TA,2009,106000
10140,6,48,Y,1309,1,Gd,2006,181000
4438,6,18,Y,848,1,Gd,2008,144500
8712,5,70,N,1044,1,Fa,2010,55993
9750,6,64,Y,1442,1,TA,2007,157900
8248,5,104,Y,1250,1,Fa,2006,116000
12137,7,24,Y,1661,2,Gd,2010,224900
11425,5,68,Y,1008,1,TA,2006,137000
13265,8,20,Y,1689,2,Gd,2008,271000
8816,6,51,Y,1052,1,TA,2010,155000
6371,7,13,Y,1358,2,Gd,2010,224000
7226,7,19,Y,1640,2,Gd,2008,183000
6000,4,69,N,936,1,TA,2009,93000
12394,7,19,Y,1733,2,Gd,2007,225000
9900,6,82,Y,1489,2,TA,2009,139500
11216,8,16,Y,1489,2,Gd,2006,232600
14803,10,15,Y,2084,2,Ex,2008,385000
6130,5,98,Y,784,1,Gd,2008,109500
8529,7,21,Y,1434,2,Gd,2009,189000
28698,5,55,Y,2126,2,TA,2009,185000
2544,7,17,Y,1223,2,Gd,2006,147400
11900,6,65,Y,1392,1,TA,2008,166000
3180,7,17,Y,1200,2,Gd,2006,151000
9548,7,19,Y,1829,2,Gd,2010,237000
10004,6,58,Y,1516,1,TA,2009,167000
7875,5,61,Y,1144,1,TA,2008,139950
9600,4,72,Y,1067,2,Gd,2010,128000
8100,5,74,Y,1559,1,TA,2007,153500
1680,6,49,Y,987,1,TA,2008,100000
9525,5,27,Y,1099,1,Gd,2008,144000
11767,5,76,Y,1200,1,TA,2008,130500
12155,6,97,N,1482,2,Fa,2008,140000
10440,5,118,Y,1539,2,Gd,2008,157500
9020,6,56,Y,1165,1,TA,2008,174900
8000,5,61,N,1800,2,TA,2007,141000
12665,5,107,Y,1416,1,TA,2008,153900
16647,5,47,Y,1701,2,TA,2007,171000
9317,7,29,Y,1775,2,Gd,2009,213000
15523,5,50,Y,864,1,TA,2009,133500
45600,6,114,Y,2358,3,TA,2008,240000
9600,6,46,Y,1855,2,TA,2007,187000
4435,6,19,Y,848,1,Gd,2007,131500
3196,8,19,Y,1456,2,Gd,2006,215000
7128,7,81,Y,1646,2,TA,2007,164000
12095,6,58,Y,1445,1,TA,2009,158000
17920,5,67,Y,1779,1,TA,2006,170000
6897,5,60,Y,1040,1,TA,2010,127000
10970,6,44,Y,1026,1,TA,2008,147000
8125,6,28,Y,1481,2,TA,2009,174000
10400,7,46,Y,1370,2,TA,2009,152000
11029,6,54,Y,2654,2,Gd,2006,250000
7642,7,104,Y,1426,1,Gd,2007,189950
11625,5,57,Y,1039,1,TA,2010,131500
9672,6,38,Y,1097,2,TA,2010,152000
7931,5,63,Y,1148,1,TA,2009,132500
8640,7,15,Y,1372,2,Gd,2008,250580
8750,5,52,Y,1002,1,TA,2009,148500
10656,8,16,Y,1646,2,Gd,2007,248900
6970,4,61,Y,1120,1,Fa,2007,129000
14762,5,74,Y,2320,2,TA,2006,169000
9938,7,29,Y,1949,2,Gd,2010,236000
6600,5,60,N,894,1,TA,2009,109500
8750,6,24,Y,1682,2,Gd,2010,200500
8892,5,69,Y,910,1,Gd,2008,116000
12144,5,73,Y,1268,1,TA,2009,133000
5720,5,81,Y,1131,1,TA,2009,66500
9000,8,15,Y,2610,2,Ex,2007,303477
25286,4,59,Y,1040,1,TA,2007,132250
8834,9,18,Y,2224,2,Ex,2009,350000
11782,5,61,Y,1155,1,Gd,2010,148000
7000,5,44,Y,864,1,TA,2009,136500
7024,5,17,Y,1090,1,TA,2007,157000
13758,7,32,Y,1717,2,Gd,2007,187500
9636,6,30,Y,1593,2,TA,2009,178000
6204,4,110,N,2230,1,TA,2006,118500
7150,5,55,Y,892,1,TA,2009,100000
5119,9,23,Y,1709,2,Gd,2008,328900
8393,5,63,Y,1712,2,TA,2006,145000
16466,5,67,Y,1393,1,TA,2008,135500
15865,8,52,Y,2217,2,Gd,2007,268000
12160,6,69,Y,1505,1,TA,2009,149500
8064,5,73,Y,924,1,TA,2007,122900
11184,6,44,Y,1683,2,TA,2009,172500
8414,6,59,Y,1068,1,TA,2006,154500
13284,5,68,Y,1383,1,TA,2008,165000
7018,5,43,Y,1535,2,TA,2009,118858
7056,6,59,Y,1796,1,TA,2008,140000
8765,4,86,N,951,1,TA,2006,106500
7018,5,43,Y,2240,2,TA,2009,142953
12919,9,13,Y,2364,2,Ex,2010,611657
6993,5,61,Y,1236,1,TA,2006,135000
7340,4,51,Y,858,1,TA,2007,110000
8712,5,65,Y,1306,1,TA,2009,153000
7875,7,19,Y,1509,2,Gd,2006,180000
14859,7,16,Y,1670,2,Gd,2006,240000
6173,5,55,Y,902,1,TA,2007,125500
9920,5,68,Y,1063,1,TA,2010,128000
13501,8,16,Y,1636,2,Gd,2007,255000
11500,7,86,Y,2057,1,Gd,2006,250000
8885,5,39,Y,902,1,TA,2006,131000
12589,6,17,Y,1484,2,Gd,2009,174000
11600,5,62,Y,2274,2,TA,2010,154300
9286,5,45,Y,1268,1,Gd,2009,143500
6120,5,97,N,1015,1,TA,2006,88000
6270,5,73,N,2002,2,TA,2007,145000
3000,6,13,Y,1224,2,Gd,2009,173733
2001,4,52,Y,1092,1,TA,2007,75000
9000,2,73,N,480,0,TA,2006,35311
17140,4,66,Y,1229,1,TA,2009,135000
13125,7,31,Y,2127,2,Gd,2007,238000
11029,6,64,Y,1414,1,TA,2008,176500
8462,6,28,Y,1721,2,Gd,2007,201000
8777,5,122,Y,2200,2,TA,2008,145900
10237,6,17,Y,1316,2,Gd,2006,169990
8012,6,29,Y,1617,2,Gd,2008,193000
10240,6,42,Y,1686,2,TA,2006,207500
15611,5,45,Y,1126,2,Ex,2008,175000
11999,8,19,Y,2374,2,Ex,2007,285000
9900,7,54,Y,1978,2,TA,2008,176000
11838,8,21,Y,1788,2,Ex,2009,236500
13006,7,25,Y,2236,2,Gd,2006,222000
8925,8,15,Y,1466,2,Gd,2009,201000
9100,5,57,Y,925,1,TA,2009,117500
11670,9,16,Y,1905,2,Ex,2007,320000
8487,7,18,Y,1500,2,Gd,2009,190000
27650,7,62,Y,2069,2,Gd,2008,242000
5825,4,96,Y,747,1,TA,2006,79900
10083,7,19,Y,1200,2,Gd,2009,184900
9675,7,17,Y,1971,2,Gd,2009,253000
8760,7,16,Y,1962,2,Gd,2006,239799
24090,7,82,Y,2403,2,TA,2010,244400
12640,6,46,Y,1728,2,TA,2006,150900
8755,7,23,Y,2060,2,Gd,2009,214000
7711,4,45,Y,1440,2,TA,2007,150000
25000,5,55,Y,1632,2,TA,2007,143000
14375,6,64,Y,1344,1,Gd,2009,137500
8820,5,132,Y,1869,1,TA,2009,124900
8163,5,63,Y,1144,1,TA,2006,143000
14536,8,20,Y,1629,2,Gd,2007,270000
14006,7,20,Y,1776,2,Gd,2006,192500
9360,6,50,Y,1381,1,Gd,2010,197500
7200,5,72,Y,864,1,Gd,2007,129000
7800,5,57,Y,965,1,TA,2006,119900
7200,5,50,Y,768,1,TA,2009,133900
11075,5,53,Y,1968,2,TA,2008,172000
9400,6,47,Y,980,2,TA,2006,127500
7136,6,76,N,1958,2,TA,2007,145000
1300,6,42,Y,1229,1,TA,2009,124000
7420,5,60,Y,1057,1,TA,2007,132000
8450,7,19,Y,1337,2,Gd,2007,185000
2572,7,23,Y,1416,2,Gd,2010,155000
7207,5,64,Y,858,1,TA,2010,116500
12227,6,45,Y,2872,2,TA,2008,272000
2308,6,46,Y,1548,2,Gd,2007,155000
11923,9,15,Y,1800,2,Ex,2009,239000
11316,7,20,Y,1894,2,Gd,2010,214900
10237,6,17,Y,1484,2,Gd,2007,178900
9600,5,82,Y,1308,1,TA,2009,160000
7390,5,67,Y,1098,1,TA,2008,135000
5925,3,112,N,968,1,TA,2009,37900
10382,6,64,Y,1095,1,TA,2006,140000
10800,4,73,N,1192,1,TA,2006,135000
2268,7,19,Y,1626,2,Gd,2009,173000
7892,6,43,Y,918,2,TA,2010,99500
11639,7,15,Y,1428,2,Gd,2008,182000
11414,7,112,N,2019,1,Gd,2009,167500
2651,7,22,Y,1382,2,Gd,2006,165000
5900,4,99,Y,869,1,Fa,2006,85500
4274,7,16,Y,1241,1,Gd,2007,199900
9450,4,68,Y,894,1,TA,2007,110000
8816,5,59,Y,1121,1,TA,2009,139000
12122,7,61,Y,999,1,Ex,2008,178400
12203,8,24,Y,2612,2,Gd,2009,336000
3182,7,15,Y,1266,2,Gd,2008,159895
11250,8,20,Y,2290,2,Gd,2008,255900
10125,5,45,Y,1734,2,Gd,2009,126000
10880,5,72,N,1164,1,TA,2008,125000
5310,6,112,Y,1635,1,Gd,2006,117000
10159,9,13,Y,1940,2,Ex,2010,395192
12046,6,46,Y,2030,2,Gd,2007,195000
8125,7,16,Y,1576,2,Gd,2006,197000
9452,8,25,Y,2392,2,Gd,2006,348000
17671,8,140,Y,1742,1,Gd,2009,168000
9760,6,58,Y,1851,2,Gd,2007,187000
8846,6,17,Y,1500,2,Gd,2006,173900
12456,10,16,Y,1718,2,Ex,2009,337500
4712,4,76,Y,1230,1,TA,2006,121600
10659,5,61,Y,1050,1,TA,2006,136500
11717,6,52,Y,1442,2,TA,2009,185000
9786,3,100,N,1077,1,TA,2006,91000
6762,7,16,Y,1208,2,Gd,2010,206000
10206,3,70,N,944,1,Fa,2009,82000
5400,5,102,Y,691,1,Ex,2007,86000
11957,8,16,Y,1574,2,Gd,2008,232000
11500,5,46,Y,1680,2,TA,2007,136905
3182,7,17,Y,1504,2,Gd,2009,181000
8385,5,45,Y,985,2,TA,2008,149900
12155,6,52,Y,1657,2,TA,2007,163500
2217,4,52,Y,1092,1,TA,2009,88000
12118,7,18,Y,1710,2,Gd,2009,240000
6000,5,96,Y,1522,2,TA,2006,102000
21286,5,74,Y,1271,2,TA,2008,135000
9825,5,57,N,1664,2,TA,2010,100000
10592,6,99,Y,1502,1,Gd,2007,165000
7200,5,112,N,1022,1,TA,2009,85000
11664,6,74,Y,1082,1,TA,2007,119200
8400,8,21,Y,1665,2,Gd,2009,227000
11883,7,26,Y,1504,2,Gd,2009,203000
5814,8,38,Y,1360,1,Gd,2009,187500
10784,7,31,Y,1472,2,Gd,2007,160000
3013,7,17,Y,1506,2,Gd,2006,213490
7024,4,17,Y,1132,1,Gd,2008,176000
7406,7,16,Y,1220,2,Gd,2006,194000
9439,5,92,Y,1248,1,TA,2007,87000
3182,7,17,Y,1504,2,Gd,2008,191000
15498,8,46,Y,2898,2,Gd,2008,287000
7700,5,50,Y,882,1,TA,2007,112500
9300,5,62,Y,1264,1,TA,2010,167500
9520,8,15,Y,1646,2,Gd,2008,293077
9492,5,81,Y,1376,1,TA,2007,105000
1680,6,50,Y,1218,1,TA,2006,118000
7082,5,106,Y,1928,2,TA,2006,160000
15863,7,102,Y,3082,2,TA,2009,197000
14541,8,29,Y,2520,2,Gd,2006,310000
8125,7,20,Y,1654,2,Gd,2006,230000
6305,5,84,Y,954,1,Fa,2007,119750
11500,4,65,N,845,1,TA,2009,84000
12898,9,15,Y,1620,2,Ex,2009,315500
9240,8,21,Y,2263,2,Gd,2008,287000
1533,4,52,Y,1344,1,TA,2009,97000
1477,4,52,Y,630,1,TA,2009,80000
13125,5,65,Y,1803,2,TA,2006,155000
9130,6,56,Y,1632,1,Gd,2008,173000
5381,6,17,Y,1306,2,Gd,2009,196000
11839,7,32,Y,2329,2,Gd,2008,262280
9600,8,41,Y,2524,2,Gd,2009,278000
13680,3,67,Y,1733,2,TA,2009,139600
16056,9,17,Y,2868,3,Ex,2006,556581
9245,5,28,Y,990,1,TA,2008,145000
21750,5,62,Y,1771,1,TA,2009,115000
11100,4,76,Y,930,1,Gd,2010,84900
8993,7,15,Y,1302,2,Gd,2007,176485
11175,7,15,Y,1316,2,Gd,2007,200141
9500,6,58,Y,1977,1,TA,2007,165000
8562,5,65,Y,1526,1,TA,2010,144500
11367,8,20,Y,1989,2,Gd,2006,255000
11361,6,46,Y,1523,2,TA,2008,180000
7052,7,17,Y,1364,2,Gd,2006,185850
29959,7,28,Y,1850,2,Gd,2009,248000
11308,9,14,Y,2184,2,Ex,2009,335000
11275,6,90,Y,1991,1,TA,2007,220000
4920,8,21,Y,1338,2,Gd,2010,213500
18000,3,87,Y,894,1,TA,2008,81000
13600,5,122,N,2337,2,TA,2007,90000
6000,6,97,Y,1103,1,Gd,2006,110500
11000,5,56,Y,1154,1,TA,2009,154000
14000,7,26,Y,2260,2,Gd,2010,328000
7837,6,29,Y,1571,2,TA,2009,178000
9760,6,58,Y,1611,1,TA,2008,167900
3964,6,49,Y,2521,2,TA,2006,151400
9600,5,73,Y,893,1,Gd,2007,135000
10152,5,66,Y,1048,1,TA,2007,135000
11700,6,54,Y,1556,1,TA,2009,154000
7585,5,74,Y,1456,1,TA,2006,91500
7950,6,45,Y,1426,1,TA,2009,159500
8556,7,16,Y,1240,2,Gd,2007,194000
13125,7,82,Y,1740,1,TA,2007,219500
10800,5,86,Y,1466,2,Gd,2006,170000
15870,5,53,Y,1096,1,TA,2006,138800
4435,6,18,Y,848,1,Gd,2006,155900
8775,5,28,Y,990,1,TA,2007,126000
11040,6,51,Y,1258,2,Gd,2008,145000
7500,5,59,Y,1040,1,TA,2010,133000
8749,7,20,Y,1459,2,Gd,2007,192000
8800,6,58,Y,1251,1,TA,2006,160000
13031,6,27,Y,1498,2,TA,2006,187500
9069,6,30,Y,996,1,Gd,2010,147000
1974,4,49,Y,1092,1,TA,2010,83500
10574,8,17,Y,1953,2,Gd,2009,252000
2522,7,18,Y,1709,2,Gd,2006,137500
3316,8,17,Y,1247,1,Gd,2006,197000
8544,3,72,N,1040,2,TA,2009,92900
2160,7,23,Y,1252,2,Gd,2008,160000
8400,6,97,Y,1694,2,TA,2008,136500
9230,5,57,Y,1200,1,Gd,2006,146000
5868,5,66,Y,936,1,TA,2010,129000
9317,6,16,Y,1314,2,Gd,2007,176432
6882,6,108,Y,1355,1,Gd,2007,127000
3696,8,36,Y,1088,1,Gd,2007,170000
6000,4,86,Y,1324,1,TA,2009,128000
11880,7,44,Y,1601,2,TA,2009,157000
8400,2,102,N,438,1,Fa,2009,60000
9758,5,51,Y,950,1,TA,2007,119500
7000,5,62,Y,1134,1,TA,2007,135000
8910,6,63,Y,1194,1,TA,2006,159500
2016,5,52,Y,1302,2,TA,2007,106000
12256,8,28,Y,2622,2,Gd,2010,325000
10357,7,32,Y,1442,2,Gd,2007,179900
23257,7,16,Y,2021,2,Gd,2006,274725
8063,6,22,Y,1690,2,TA,2007,181000
11362,8,18,Y,1836,2,Gd,2009,280000
8000,6,27,Y,1658,2,TA,2008,188000
10480,7,46,Y,1964,2,TA,2008,205000
7100,5,65,Y,816,1,TA,2006,129900
8923,5,69,Y,1008,1,Gd,2007,134500
5400,5,68,Y,833,1,Gd,2006,117000
12085,8,15,Y,1734,2,Ex,2007,318000
7750,8,20,Y,1419,2,Gd,2009,184100
9764,5,55,Y,894,1,Gd,2008,130000
13825,5,64,Y,1601,1,TA,2008,140000
7560,5,63,Y,1040,1,TA,2006,133700
8263,6,102,Y,1012,1,TA,2007,118400
10084,7,17,Y,1552,2,Gd,2006,212900
8926,4,66,Y,960,1,TA,2009,112000
9405,5,75,Y,698,1,TA,2009,118000
9125,7,30,Y,1482,2,Gd,2007,163900
10434,4,67,Y,1005,1,Fa,2009,115000
3684,7,15,Y,1555,2,Gd,2009,174000
14572,7,18,Y,1530,2,Gd,2007,259000
11796,7,18,Y,1959,2,Gd,2007,215000
7200,5,42,Y,936,1,TA,2007,140000
7804,4,94,Y,1981,2,Gd,2009,135000
10712,5,31,Y,974,1,TA,2007,93500
9900,6,142,Y,2210,2,Fa,2007,117500
9828,8,27,Y,2020,2,Gd,2009,239500
8773,6,25,Y,1600,2,TA,2007,169000
6180,6,96,N,986,1,TA,2007,102000
9600,6,72,Y,1252,1,TA,2008,119000
6342,5,147,N,1020,1,TA,2010,94000
9819,6,45,Y,1567,2,Gd,2009,196000
8731,5,102,Y,1167,1,TA,2007,144000
7350,5,71,Y,952,1,TA,2008,139000
10304,5,46,Y,1868,2,Gd,2009,197500
9965,8,16,Y,2828,3,Gd,2007,424870
9000,5,63,Y,1006,1,TA,2008,80000
12180,4,81,N,924,1,Fa,2010,80000
6240,5,94,Y,1576,1,TA,2006,149000
11200,6,37,Y,1298,2,Gd,2006,180000
