const,LotArea,OverallQual,OverallCond,YearBuilt,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,OpenPorchSF,YrSold,HeatingQC_Fa,HeatingQC_Gd,HeatingQC_Po,HeatingQC_TA,CentralAir_Y
1.0,5687,5,6,1912,780,936,1716,2,6,1,2,9,184,2008,0,0,0,0,0
1.0,11409,5,4,1949,768,1148,1716,1,3,1,3,8,0,2009,0,1,0,0,1
1.0,16659,7,7,1977,795,1468,2263,2,3,1,4,9,250,2006,1,0,0,0,1
1.0,9600,6,5,1953,1416,1644,1644,1,3,1,3,7,0,2009,0,0,0,1,1
1.0,7937,6,6,1984,1003,1003,1003,1,3,1,3,6,0,2006,0,0,0,1,1
1.0,13710,5,5,1950,910,910,1558,1,4,1,3,6,0,2007,0,0,0,1,1
1.0,7399,7,5,1997,975,975,1950,2,3,1,4,7,10,2007,0,0,0,0,1
1.0,11700,6,6,1968,702,1041,1743,1,3,1,3,7,0,2007,0,1,0,0,1
1.0,14000,6,8,1950,1092,1152,1152,1,3,1,4,6,36,2009,0,0,0,0,1
1.0,15750,5,5,1953,1165,1336,1336,1,2,1,3,5,0,2006,0,0,0,1,1
1.0,16226,8,5,1998,1028,1210,2452,2,4,1,4,9,50,2007,0,0,0,0,1
1.0,13704,7,5,2001,1541,1541,1541,2,3,1,4,6,81,2006,0,0,0,0,1
1.0,9800,5,7,1972,894,894,894,1,3,1,3,5,0,2006,0,0,0,1,1
1.0,18386,7,9,1880,1470,1675,3493,3,3,1,4,10,0,2008,0,0,0,0,1
1.0,10386,8,5,2004,2000,2000,2000,2,3,1,4,8,0,2007,0,0,0,0,1
1.0,13474,7,5,1990,700,1122,2243,2,4,1,4,8,44,2007,0,1,0,0,1
1.0,7920,6,7,1920,319,1035,1406,1,3,1,2,6,144,2008,0,0,0,1,1
1.0,12342,4,5,1940,861,861,861,1,1,1,3,4,0,2009,0,0,0,0,1
1.0,12378,9,5,2003,1896,1944,1944,2,3,1,5,8,175,2006,0,0,0,0,1
1.0,7685,6,5,1993,697,697,1501,2,3,1,4,6,63,2006,0,1,0,0,1
1.0,8000,6,6,1948,972,972,972,1,2,1,3,5,0,2009,0,0,0,0,1
1.0,7800,5,7,1939,793,793,1118,1,3,1,3,5,0,2006,0,0,0,1,1
1.0,215245,7,5,1965,2136,2036,2036,2,3,1,3,8,0,2009,0,0,0,1,1
1.0,9600,7,7,1925,728,832,1641,1,3,1,5,6,0,2006,0,0,0,0,1
1.0,7795,7,5,2004,716,716,1432,2,3,1,4,6,51,2009,0,0,0,0,1
1.0,13005,7,7,1980,845,1153,2353,2,4,1,5,10,195,2009,0,0,0,1,1
1.0,9000,8,5,2006,1088,1088,1959,2,3,1,4,8,46,2007,0,0,0,0,1
1.0,9900,7,5,1993,1347,1372,2646,2,4,1,4,9,60,2009,0,0,0,0,1
1.0,14115,7,5,1980,1372,1472,1472,2,3,1,3,6,48,2009,0,0,0,1,1
1.0,16259,9,5,2006,1249,1249,2596,3,4,1,4,9,154,2006,0,0,0,0,1
1.0,12099,8,5,2004,1136,1136,2468,2,4,1,4,10,154,2007,0,0,0,0,1
1.0,10380,7,5,1986,1502,1553,2730,2,4,1,4,8,96,2007,0,0,0,0,1
1.0,5820,3,8,1955,1162,1163,1163,1,3,1,3,6,98,2006,0,0,0,0,1
1.0,11275,7,7,1967,710,1898,2978,2,5,1,4,11,0,2010,0,0,0,0,1
1.0,5000,5,6,1941,720,803,803,1,2,1,3,5,0,2007,0,0,1,0,0
1.0,10846,8,5,1993,1719,1719,1719,1,1,1,4,6,30,2008,0,0,0,0,1
1.0,11600,6,5,1960,1383,1383,1383,1,3,1,3,7,45,2006,0,0,0,1,1
1.0,11888,6,6,1916,844,1445,2134,2,5,1,4,10,60,2009,0,1,0,0,0
1.0,6402,5,5,1920,596,596,1192,1,3,1,3,6,0,2009,0,0,0,1,0
1.0,10624,5,4,1964,1728,1728,1728,2,6,2,3,10,0,2007,0,0,0,1,1
1.0,8176,5,6,1958,1056,1056,1056,1,3,1,3,6,0,2007,1,0,0,0,1
1.0,10655,8,5,2003,3206,1629,1629,2,3,1,4,7,0,2009,0,0,0,0,1
1.0,8198,7,5,2004,1358,1358,1358,2,2,1,4,6,30,2008,0,0,0,0,1
1.0,9042,6,5,1998,943,943,1638,2,3,1,3,7,38,2008,0,1,0,0,1
1.0,164660,5,6,1965,1499,1619,1786,2,3,1,3,7,0,2008,0,0,0,0,1
1.0,14157,9,5,2005,1922,1922,1922,2,3,1,4,8,51,2007,0,0,0,0,1
1.0,9135,7,5,2002,1536,1536,1536,2,3,1,4,7,74,2008,0,0,0,0,1
1.0,14145,7,7,1984,1208,1621,1621,2,3,1,4,8,45,2006,0,0,0,0,1
1.0,12400,6,7,1958,1215,1215,1215,1,3,1,3,6,0,2009,0,0,0,1,1
1.0,14191,8,5,2002,967,993,1908,2,4,1,4,9,0,2010,0,0,0,0,1
1.0,8400,4,4,1950,721,841,841,1,2,1,3,4,0,2009,0,1,0,0,1
1.0,8544,3,4,1949,0,1040,1040,2,2,2,3,6,0,2006,1,0,0,0,0
1.0,8849,9,5,2005,1684,1684,1684,2,2,1,5,6,72,2008,0,0,0,0,1
1.0,2592,5,3,1976,536,536,1112,1,3,1,3,4,0,2010,0,0,0,1,1
1.0,6435,6,5,1939,972,972,1577,1,3,1,2,6,0,2006,0,1,0,0,1
1.0,12772,6,8,1960,958,958,958,1,2,1,3,5,0,2007,0,0,0,1,1
1.0,17600,6,5,1960,1478,1478,1478,2,3,1,3,6,40,2009,0,0,0,0,1
1.0,2448,7,5,2003,764,764,1626,2,2,1,4,6,27,2008,0,0,0,0,1
1.0,20431,9,5,2005,1848,1848,2728,2,4,1,5,10,0,2006,0,0,0,0,1
1.0,7820,9,5,2007,1869,1869,1869,2,2,1,5,6,54,2007,0,0,0,0,1
1.0,5271,7,5,1986,1453,1453,1453,1,2,1,4,6,80,2006,0,1,0,0,1
1.0,9084,5,6,1941,616,616,1111,1,3,1,3,5,0,2008,0,0,0,1,0
1.0,8520,6,8,1928,624,720,720,1,2,1,3,5,0,2010,0,1,0,0,1
1.0,8400,6,5,1940,940,1192,1595,1,2,1,3,6,0,2006,0,0,0,0,1
1.0,11249,6,5,1995,1200,1200,1200,2,3,1,4,6,26,2007,0,0,0,0,1
1.0,9248,6,6,1992,1158,1167,1167,2,3,1,4,6,26,2009,0,1,0,0,1
1.0,4224,5,5,1976,1142,1142,1142,1,3,1,3,6,90,2007,0,0,0,1,1
1.0,6930,5,4,1958,1062,1352,1352,1,3,1,4,6,0,2006,0,0,0,0,1
1.0,12011,8,5,1998,1086,1086,1924,2,3,1,4,7,75,2006,0,0,0,0,1
1.0,7540,6,6,1978,888,912,912,1,2,1,3,5,0,2007,0,0,0,0,1
1.0,9144,5,5,1940,883,988,1505,1,3,1,3,8,0,2008,0,1,0,0,1
1.0,7301,7,5,2003,0,495,1922,3,4,1,4,7,0,2009,0,0,0,0,1
1.0,1680,6,8,1972,483,483,987,1,2,1,4,5,0,2009,0,1,0,0,1
1.0,18800,6,5,1976,796,790,1574,2,3,1,3,6,111,2006,0,0,0,1,1
1.0,10690,5,7,1920,672,672,1344,1,3,1,3,6,128,2009,0,1,0,0,1
1.0,9500,6,5,1963,1394,1394,1394,1,3,1,3,6,76,2009,0,1,0,0,1
1.0,9150,6,5,1962,1099,1431,1431,1,3,1,3,6,110,2008,0,1,0,0,1
1.0,7800,5,6,1954,1268,1268,1268,1,2,1,3,7,98,2010,0,1,0,0,1
1.0,9830,5,7,1959,1063,1287,1287,1,3,1,4,7,17,2010,0,0,0,0,1
1.0,8121,6,5,2000,953,953,1664,2,3,1,3,7,40,2006,0,0,0,0,1
1.0,17120,4,4,1959,0,1120,1588,2,4,1,3,7,59,2008,0,0,0,1,1
1.0,7175,6,5,1984,744,752,752,1,2,1,3,4,0,2010,0,0,0,1,1
1.0,10634,5,6,1953,608,1319,1319,1,3,1,3,5,0,2009,0,0,0,1,1
1.0,8200,7,5,2003,847,847,1928,2,4,1,4,8,48,2007,0,0,0,0,1
1.0,10020,1,1,1922,683,904,904,0,1,1,2,4,0,2009,0,1,0,0,0
1.0,8846,5,5,1996,870,914,914,1,2,1,3,5,0,2006,0,0,0,0,1
1.0,11143,8,5,2004,1580,1580,2466,3,4,1,4,8,214,2007,0,0,0,0,1
1.0,11394,9,2,2010,1856,1856,1856,1,1,1,5,8,0,2010,0,0,0,0,1
1.0,8123,6,5,2000,982,1007,1800,2,3,1,3,7,63,2009,0,0,0,0,1
1.0,5000,5,6,1924,1026,1026,1691,2,3,1,4,6,0,2010,0,0,0,1,1
1.0,7200,7,5,2006,1293,1301,1301,2,2,1,4,5,121,2006,0,0,0,0,1
1.0,9245,7,5,2006,939,939,1797,2,3,1,4,8,53,2007,0,0,0,0,1
1.0,9000,6,3,1928,784,784,784,1,2,1,3,5,0,2009,0,0,0,1,0
1.0,53107,6,5,1992,1580,1079,1953,2,3,1,4,9,231,2007,0,0,0,0,1
1.0,3182,8,5,2004,1256,1269,1269,2,2,1,4,6,20,2010,0,0,0,0,1
1.0,8410,5,3,1910,658,658,1184,1,5,1,3,8,151,2006,0,0,0,1,1
1.0,7200,6,6,1976,1041,1125,1125,1,3,1,3,6,0,2009,0,0,0,0,1
1.0,9382,7,5,1999,1468,1479,1479,2,3,1,4,6,25,2008,0,0,0,0,1
1.0,12474,10,5,2007,1682,1742,2332,2,3,1,5,9,134,2008,0,0,0,0,1
1.0,8405,5,8,1900,861,961,1367,1,4,1,3,7,130,2008,0,0,0,0,1
1.0,12209,6,5,2001,804,804,1961,2,3,1,4,7,192,2009,0,0,0,0,1
1.0,8339,5,7,1959,0,882,882,1,3,1,3,5,0,2007,0,0,0,1,1
1.0,7446,4,5,1941,788,788,788,1,2,1,3,4,0,2006,0,0,0,1,1
1.0,10134,5,6,1940,735,735,1034,1,2,1,3,5,39,2007,0,1,0,0,1
1.0,9571,5,6,1956,1144,1144,1144,1,3,1,3,6,0,2010,0,0,0,1,1
1.0,7200,5,5,1972,894,894,894,1,2,1,3,6,0,2009,0,0,0,1,1
1.0,7590,5,5,1962,864,876,1812,2,4,1,3,8,168,2007,0,0,0,1,1
1.0,8967,5,2,1920,961,1077,1077,1,2,1,3,6,0,2007,0,1,0,0,1
1.0,8125,7,5,2006,1092,1112,1550,2,2,1,4,7,168,2009,0,0,0,0,1
1.0,14963,8,5,1996,1260,1288,1288,1,1,1,5,4,30,2008,0,0,0,0,1
1.0,8767,7,5,2005,1310,1310,1310,2,3,1,4,6,0,2006,0,0,0,0,1
1.0,10200,5,8,1940,672,672,672,1,2,1,3,4,0,2008,0,0,0,0,1
1.0,12090,8,5,1998,1141,1165,2263,2,4,1,4,10,123,2006,0,1,0,0,1
1.0,10364,6,5,1995,806,806,1572,2,3,1,3,7,40,2007,0,1,0,0,1
1.0,9991,4,4,1976,1281,1620,1620,2,3,1,3,8,78,2009,0,0,0,0,1
1.0,10480,6,5,1936,1064,1166,1639,1,3,1,3,6,0,2008,0,0,0,0,1
1.0,15576,6,7,1915,840,840,1680,2,4,1,3,8,0,2008,0,0,0,0,1
1.0,14154,7,5,2006,1063,1071,2172,2,3,1,4,9,62,2007,0,0,0,0,1
1.0,10800,8,5,2007,1034,1050,2078,2,3,1,5,8,102,2008,0,0,0,0,1
1.0,9571,5,3,1958,1276,1276,1276,1,3,1,3,5,0,2009,0,0,0,1,1
1.0,34650,5,5,1955,1056,1056,1056,1,3,1,3,5,0,2006,0,0,0,1,0
1.0,4403,7,5,2009,1470,1478,1478,2,2,1,4,7,144,2010,0,0,0,0,1
1.0,8960,5,6,1927,1008,1028,1028,1,2,1,3,5,0,2010,0,1,0,0,1
1.0,11228,7,5,1993,1080,1080,2097,2,3,1,4,9,187,2008,0,0,0,0,1
1.0,8899,7,5,2007,1340,1340,1340,2,3,1,4,6,30,2007,0,0,0,0,1
1.0,7844,6,7,1978,672,672,1400,1,3,1,3,6,0,2006,0,0,0,1,1
1.0,22420,6,6,1918,1370,1370,2624,2,4,1,3,10,0,2007,0,0,0,1,0
1.0,8160,5,6,1940,756,756,1134,1,3,1,3,7,0,2007,1,0,0,0,0
1.0,8450,5,6,1968,1056,1056,1056,1,3,1,3,6,85,2010,0,0,0,0,1
1.0,7060,7,5,1997,1344,1344,1344,2,2,2,3,8,0,2008,0,0,0,0,1
1.0,16635,6,7,1977,1602,1602,1602,2,3,1,4,8,0,2009,0,1,0,0,1
1.0,21750,5,5,1954,988,988,988,1,2,1,3,4,0,2008,0,0,0,0,1
1.0,9200,8,5,1998,1470,1470,2630,2,4,1,4,8,66,2008,0,1,0,0,1
1.0,9000,6,5,1956,1196,1196,1196,1,2,1,3,6,44,2008,0,1,0,0,1
1.0,3378,7,8,1946,651,707,1389,1,3,1,3,6,0,2009,0,1,0,0,1
1.0,12800,7,5,1989,1518,1644,1644,2,2,1,4,5,0,2009,0,1,0,0,1
1.0,8593,4,6,1957,907,907,907,1,3,1,3,5,0,2008,0,0,0,0,1
1.0,6762,7,5,2007,1208,1208,1208,2,2,1,4,6,54,2007,0,0,0,0,1
1.0,11457,6,5,1988,1392,1412,1412,2,3,1,4,6,0,2009,0,0,0,1,1
1.0,1680,6,5,1971,483,483,987,1,2,1,3,4,0,2008,0,0,0,1,1
1.0,5586,6,7,1920,901,1088,1198,1,4,1,3,7,98,2008,0,1,0,0,1
1.0,1920,5,5,1971,765,765,1365,1,2,1,3,6,36,2007,0,0,0,0,1
1.0,10839,6,5,1997,926,926,1604,2,3,1,3,7,36,2008,0,0,0,0,1
1.0,1890,4,7,1972,630,630,630,1,1,1,3,3,0,2008,0,1,0,0,1
1.0,10667,7,6,1996,799,827,1661,2,3,1,4,6,61,2009,0,0,0,0,1
1.0,4400,6,8,1920,648,734,1118,1,2,1,3,6,0,2006,0,0,0,1,1
1.0,6000,6,7,1926,884,904,904,1,2,1,3,4,0,2009,0,1,0,0,1
1.0,4280,5,6,1913,440,694,694,1,2,1,4,4,0,2007,0,0,0,1,0
1.0,12354,6,8,1920,684,684,1196,1,3,1,4,7,46,2009,0,1,0,0,1
1.0,15431,10,5,2008,3094,2402,2402,2,2,1,5,10,72,2009,0,0,0,0,1
1.0,12108,4,4,1955,1440,1440,1440,2,4,2,2,8,0,2008,0,0,0,1,0
1.0,6240,5,7,1930,1078,1128,1573,2,3,1,3,8,0,2008,0,0,0,1,1
1.0,3922,7,5,2006,1258,1258,1258,2,2,1,4,6,16,2007,0,0,0,0,1
1.0,8750,7,5,1994,915,933,1908,2,4,1,4,8,133,2008,0,0,0,0,1
1.0,9855,6,5,1956,1436,1689,1689,1,3,1,3,7,0,2009,1,0,0,0,1
1.0,16492,6,6,1966,1517,1888,1888,2,2,1,4,6,0,2010,0,0,0,0,1
1.0,11214,7,5,1998,930,956,1886,2,4,1,4,10,0,2006,0,1,0,0,1
1.0,8600,6,6,1937,780,780,1376,2,3,1,3,7,0,2006,0,0,0,1,1
1.0,6000,3,7,1948,649,679,1183,1,2,1,3,6,176,2007,0,0,0,0,1
1.0,5684,6,8,1930,813,813,813,1,2,1,4,5,113,2006,0,0,0,0,1
1.0,70761,7,5,1975,1533,1533,1533,2,2,1,4,5,54,2006,0,0,0,1,1
1.0,9303,6,5,1996,872,888,1756,2,3,1,3,7,122,2007,0,0,0,0,1
1.0,9000,8,5,2008,768,786,1590,2,3,1,4,6,30,2009,0,0,0,0,1
1.0,9297,5,5,1976,1728,1728,1728,2,4,2,3,8,0,2006,0,0,0,1,1
1.0,9600,7,6,1973,1242,1242,1242,1,3,1,3,6,0,2007,1,0,0,0,1
1.0,4571,5,5,1916,624,624,1344,1,4,1,3,7,0,2008,1,0,0,0,0
1.0,53227,4,6,1954,1364,1663,1663,1,2,1,4,6,137,2008,0,0,0,0,1
1.0,5100,8,7,1925,588,833,1666,1,3,1,4,7,63,2008,1,0,0,0,1
1.0,7015,5,4,1950,709,979,1203,1,3,1,4,5,0,2009,0,0,0,1,1
1.0,8004,8,5,2009,832,832,1935,2,3,1,3,8,150,2009,0,0,0,0,1
1.0,7200,7,9,1936,560,575,1135,1,3,1,4,6,0,2009,0,0,0,0,1
1.0,8281,5,5,1965,864,864,864,1,3,1,3,5,0,2009,0,1,0,0,1
1.0,11988,6,7,1934,715,849,1660,1,3,1,3,6,0,2008,1,0,0,0,1
1.0,8430,5,5,1978,1040,1040,1040,2,3,1,3,5,0,2009,0,0,0,1,1
1.0,3072,7,5,2004,1375,1414,1414,2,2,1,4,6,20,2006,0,0,0,0,1
1.0,10628,7,5,1970,1277,1277,1277,1,2,1,3,5,0,2007,0,0,0,1,1
1.0,9480,5,7,1942,728,888,1644,1,3,1,4,7,0,2007,0,0,0,0,1
1.0,11428,8,5,2006,1626,1634,1634,2,3,1,4,7,44,2007,0,0,0,0,1
1.0,9291,6,5,1993,832,832,1710,2,3,1,4,7,70,2008,0,0,0,0,1
1.0,6820,8,5,1985,1488,1502,1502,1,1,1,4,4,54,2010,0,0,0,1,1
1.0,11952,7,6,1977,808,1161,1969,2,3,1,3,8,0,2007,0,0,0,1,1
1.0,3675,6,5,2005,547,1072,1072,1,2,1,3,5,28,2008,0,0,0,0,1
1.0,14977,8,5,2006,1976,1976,1976,2,2,1,4,7,63,2007,0,0,0,0,1
1.0,5330,8,5,2000,1494,1652,1652,2,2,1,5,6,48,2007,0,0,0,0,1
1.0,8480,5,6,1963,970,970,970,1,2,1,3,5,24,2007,0,0,0,1,1
1.0,13125,6,5,1997,1478,1493,1493,2,3,1,4,7,39,2008,0,0,0,0,1
1.0,13693,9,5,2006,2153,2069,2643,2,3,1,5,9,84,2007,0,0,0,0,1
1.0,10637,8,5,2007,1705,1718,1718,2,3,1,4,7,44,2009,0,0,0,0,1
1.0,5925,4,7,1937,907,1131,1131,1,2,1,3,7,72,2007,0,0,0,1,1
1.0,16033,9,5,2004,1833,1850,1850,2,3,1,4,8,112,2006,0,0,0,0,1
1.0,11846,9,5,2003,1792,1792,1792,2,2,1,5,6,49,2006,0,0,0,0,1
1.0,2500,7,8,1915,910,916,1826,1,4,1,5,7,0,2009,0,0,0,0,1
1.0,4500,6,5,1998,1216,1216,1216,2,2,1,3,5,125,2006,0,0,0,0,1
1.0,7758,5,7,1962,999,999,999,1,3,1,4,6,132,2007,0,1,0,0,1
1.0,9600,5,7,1950,1113,1113,1113,1,3,1,4,5,80,2009,0,1,0,0,1
1.0,10289,5,7,1965,1073,1073,1073,1,3,1,3,6,0,2007,0,0,0,1,1
1.0,12243,5,6,1971,1484,1484,1484,2,3,1,3,7,0,2007,0,1,0,0,1
1.0,10800,5,4,1900,954,1766,2414,2,3,2,3,10,0,2006,0,0,0,1,0
1.0,1526,4,8,1970,630,630,630,1,1,1,4,3,0,2009,0,0,0,1,1
1.0,2665,5,6,1976,264,616,1304,1,3,1,3,4,24,2008,0,0,0,1,1
1.0,9490,6,7,1941,806,958,1578,1,3,1,2,5,0,2006,0,0,0,1,1
1.0,15578,6,5,2006,728,728,1456,2,3,1,3,8,0,2006,0,1,0,0,1
1.0,7931,5,6,1960,1269,1269,1269,1,3,1,3,6,0,2008,0,0,0,1,1
1.0,5784,5,8,1938,190,886,886,1,2,1,3,4,20,2009,0,1,0,0,1
1.0,7879,4,5,1920,720,720,720,1,2,1,3,4,523,2009,0,0,0,1,0
1.0,12692,8,5,1992,3200,3228,3228,3,4,1,4,10,75,2007,0,0,0,0,1
1.0,9120,7,6,1925,1026,1133,1820,2,4,1,3,8,100,2008,0,0,0,0,1
1.0,7800,5,7,1967,864,899,899,1,3,1,4,5,0,2009,0,0,0,0,1
1.0,7535,5,7,1958,912,912,912,1,2,1,3,5,285,2007,1,0,0,0,1
1.0,1890,6,5,1973,672,672,1218,1,3,1,3,7,28,2007,0,0,0,1,1
1.0,9803,7,5,2005,866,866,1768,2,3,1,4,7,108,2008,0,1,0,0,1
1.0,9170,5,7,1965,1214,1214,1214,1,2,1,3,6,0,2007,0,0,0,0,1
1.0,15602,7,8,1959,1501,1801,1801,2,1,1,3,6,54,2010,0,0,0,1,1
1.0,2308,6,5,1974,855,855,1322,2,3,1,3,6,0,2009,0,0,0,1,1
1.0,7596,5,5,1952,960,960,1960,2,4,2,3,10,0,2009,0,1,0,0,1
1.0,9554,8,5,1993,777,1065,1911,2,3,1,4,8,81,2006,0,0,0,0,1
1.0,7862,6,5,2009,1218,1218,1218,2,2,1,4,4,102,2009,0,0,0,0,1
1.0,9600,7,9,1928,689,689,1378,2,3,1,4,7,0,2008,0,0,0,0,1
1.0,9600,5,6,1959,1041,1041,1041,1,3,1,3,6,88,2009,0,0,0,0,1
1.0,14559,5,7,1951,1008,1363,1363,1,2,1,3,6,42,2009,0,0,0,0,1
1.0,6792,7,5,2005,1368,1368,1368,2,2,1,4,6,35,2006,0,0,0,0,1
1.0,9100,5,5,1958,864,864,864,1,3,1,3,5,0,2006,0,0,0,1,1
1.0,9187,6,5,1983,1084,1080,1080,1,3,1,3,5,0,2007,0,0,0,1,1
1.0,10594,5,5,1926,768,789,789,1,2,1,3,5,0,2007,1,0,0,0,0
1.0,12220,10,5,2009,2006,2020,2020,2,3,1,5,9,54,2009,0,0,0,0,1
1.0,10448,6,6,1972,689,1378,2119,2,3,1,3,7,104,2009,0,0,0,1,1
1.0,10208,7,5,1996,1264,1277,2344,2,3,1,4,7,0,2009,0,0,0,0,1
1.0,9531,6,5,1998,794,882,1796,2,3,1,3,7,36,2007,0,0,0,0,1
1.0,10918,7,9,1926,1276,1276,2080,1,3,1,4,9,0,2009,0,0,0,0,1
1.0,10800,4,7,1900,0,694,1294,2,3,2,3,7,114,2008,0,0,0,1,0
1.0,11988,6,6,1957,1244,1244,1244,1,3,1,3,6,40,2007,0,0,0,0,1
1.0,5000,6,7,1947,1004,1004,1664,2,3,1,3,7,24,2006,0,0,0,0,1
1.0,40094,10,5,2007,3138,3138,4676,3,3,1,5,11,406,2007,0,0,0,0,1
1.0,11787,7,5,1996,1379,1383,2398,2,3,1,4,8,60,2007,0,0,0,0,1
1.0,7500,7,5,2005,1257,1266,1266,2,3,1,4,6,144,2006,0,0,0,0,1
1.0,13300,5,7,1956,928,928,928,1,2,1,3,4,0,2007,0,0,0,1,1
1.0,14948,9,5,2008,1452,1476,2713,2,3,1,5,11,66,2008,0,0,0,0,1
1.0,9098,4,7,1920,528,605,605,1,2,1,3,5,0,2007,0,0,0,0,1
1.0,32668,6,3,1957,2035,2515,2515,3,4,2,3,9,0,2007,0,0,0,1,1
1.0,10200,6,5,1988,1461,1509,1509,2,3,1,4,5,0,2008,0,0,0,0,1
1.0,6155,6,8,1920,611,751,1362,2,3,1,3,6,0,2008,0,0,0,0,1
1.0,7200,5,7,1955,0,827,827,1,2,1,3,5,0,2010,0,0,0,0,1
1.0,5000,1,3,1946,0,334,334,1,1,1,2,2,0,2007,1,0,0,0,0
1.0,9056,8,5,2004,707,707,1414,2,3,1,4,6,35,2006,0,0,0,0,1
1.0,7000,5,7,1910,1117,820,1347,1,3,1,3,5,0,2008,0,0,0,1,1
1.0,8924,7,5,1998,880,880,1724,2,3,1,4,8,155,2008,0,0,0,0,1
1.0,12735,4,5,1972,864,864,864,1,3,1,3,5,0,2008,0,0,0,1,1
1.0,11553,5,5,1968,1051,1159,1159,1,3,1,3,7,0,2006,0,0,0,1,1
1.0,11423,8,5,2001,1581,1601,1601,2,3,1,4,6,0,2010,0,0,0,0,1
1.0,14601,9,5,2006,1838,1838,1838,2,2,1,5,8,68,2009,0,0,0,0,1
1.0,11000,8,5,2000,969,997,2285,2,4,1,4,8,56,2007,0,0,0,0,1
1.0,10140,7,5,1998,1650,1680,1680,2,3,1,4,7,73,2009,0,0,0,0,1
1.0,4058,7,5,1998,723,767,767,1,1,1,3,4,40,2007,0,0,0,0,1
1.0,17104,7,5,2006,654,664,1496,2,3,1,4,7,24,2006,0,0,0,0,1
1.0,13837,7,5,1988,1204,1377,2183,2,4,1,4,9,0,2006,0,1,0,0,1
1.0,8737,6,7,1923,1065,915,1635,1,3,1,3,6,38,2007,0,0,0,0,1
1.0,7244,5,7,1970,768,768,768,1,2,1,3,5,0,2007,0,0,0,0,1
1.0,8235,5,7,1955,825,825,825,1,2,1,3,4,50,2008,0,0,0,1,1
1.0,9375,7,5,2003,912,912,2094,2,4,1,4,8,182,2009,0,0,0,0,1
1.0,4043,6,6,1977,1069,1069,1069,2,2,1,3,4,55,2008,0,0,0,1,1
1.0,6000,5,6,1957,928,928,928,1,3,1,3,5,0,2008,0,1,0,0,1
1.0,11146,8,5,2006,1709,1717,1717,2,3,1,4,7,39,2009,0,0,0,0,1
1.0,8777,4,5,1949,0,1126,1126,2,2,1,4,5,96,2009,0,0,0,0,1
1.0,10625,7,5,2003,998,1006,2046,2,3,1,4,8,62,2008,0,0,0,0,1
1.0,6380,5,6,1922,993,1048,1048,1,2,1,3,5,0,2006,0,0,0,1,1
1.0,14850,5,5,1957,1092,1092,1092,1,2,1,3,6,0,2006,0,0,0,1,1
1.0,11040,4,6,1920,637,897,1336,1,3,1,3,7,47,2006,0,1,0,0,1
1.0,21872,7,5,1996,729,729,1446,2,3,1,3,6,22,2008,0,0,0,0,1
1.0,3196,7,5,2003,1374,1557,1557,2,2,1,4,7,20,2006,0,0,0,0,1
1.0,11341,5,6,1957,1392,1392,1392,1,3,1,3,5,0,2010,0,0,0,1,1
1.0,10010,5,5,1974,1389,1389,1389,1,2,1,3,6,38,2006,0,1,0,0,1
1.0,13907,5,6,1940,996,996,996,1,3,1,3,6,0,2008,0,0,0,0,1
1.0,21780,6,7,1918,1163,1163,1674,2,4,1,3,8,36,2008,0,0,0,0,1
1.0,13346,7,5,1992,1095,1166,2295,2,4,1,4,9,40,2006,0,0,0,0,1
1.0,6858,6,4,1915,806,841,1647,1,4,1,2,6,66,2010,0,0,0,1,0
1.0,11198,9,5,2005,1122,1134,2504,2,4,1,5,11,39,2008,0,0,0,0,1
1.0,10171,7,5,2004,1517,1535,1535,2,3,1,4,7,0,2010,0,0,0,0,1
1.0,12327,8,8,1983,1496,1496,2132,1,1,1,4,5,40,2009,0,0,0,0,1
1.0,7032,5,5,1979,943,943,943,1,2,1,3,4,0,2006,0,0,0,1,1
1.0,13101,5,5,1965,1728,1728,1728,2,6,2,3,10,0,2008,0,0,0,1,1
1.0,7332,6,6,1959,864,864,864,1,2,1,4,4,0,2006,0,0,0,0,1
1.0,13159,7,5,2009,846,846,1692,2,3,1,4,6,114,2009,0,1,0,0,1
1.0,9967,7,5,2000,384,774,1430,2,3,1,3,8,0,2007,0,0,0,0,1
1.0,10500,5,7,1971,372,576,1109,1,3,1,3,5,0,2007,0,0,0,1,1
1.0,8480,5,5,1947,832,832,1216,1,2,1,3,6,0,2008,0,0,0,1,1
1.0,6292,7,7,1928,861,877,1477,2,3,1,3,6,50,2009,0,1,0,0,1
1.0,11777,5,6,1966,1164,1320,1320,1,3,1,3,6,68,2006,0,0,0,0,1
1.0,3604,7,5,2007,689,703,1392,2,2,1,4,5,102,2008,0,0,0,0,1
1.0,12150,5,5,1954,1050,1050,1795,2,4,1,3,7,0,2008,0,0,0,0,0
1.0,14585,6,6,1960,1144,1429,1429,1,3,1,4,7,110,2007,0,0,0,0,1
1.0,12704,8,5,2008,2042,2042,2042,2,3,1,5,8,90,2009,0,0,0,0,1
1.0,11841,6,5,1990,816,816,816,1,3,1,3,5,32,2007,0,0,0,1,1
1.0,13500,10,9,1893,1237,1521,2775,3,3,1,4,9,502,2008,0,1,0,0,1
1.0,6120,4,7,1935,884,989,1573,1,3,1,4,6,0,2009,0,0,0,0,1
1.0,11443,8,5,2005,1868,2028,2028,2,2,1,4,7,66,2006,0,0,0,0,1
